Wavelength[Angstrom];Normalized Flux[Counts]
4716.00;1.124241
4718.00;1.145243
4720.00;1.133412
4722.00;1.106036
4724.00;1.086639
4726.00;1.085814
4728.00;1.093105
4730.00;1.101130
4732.00;1.138227
4734.00;1.133733
4736.00;1.124929
4738.00;1.122315
4740.00;1.132908
4742.00;1.134238
4744.00;1.107229
4746.00;1.101818
4748.00;1.108329
4750.00;1.096315
4752.00;1.070040
4754.00;1.057934
4756.00;1.069444
4758.00;1.074304
4760.00;1.094939
4762.00;1.103744
4764.00;1.125021
4766.00;1.118922
4768.00;1.101222
4770.00;1.093334
4772.00;1.103927
4774.00;1.109521
4776.00;1.104523
4778.00;1.089024
4780.00;1.096544
4782.00;1.096223
4784.00;1.079211
4786.00;1.049542
4788.00;1.059126
4790.00;1.073112
4792.00;1.088932
4794.00;1.090308
4796.00;1.113924
4798.00;1.145610
4800.00;1.141941
4802.00;1.128230
4804.00;1.117730
4806.00;1.107412
4808.00;1.105440
4810.00;1.102505
4812.00;1.117913
4814.00;1.111539
4816.00;1.109842
4818.00;1.082833
4820.00;1.085814
4822.00;1.083338
4824.00;1.106541
4826.00;1.108421
4828.00;1.113419
4830.00;1.095444
4832.00;1.080724
4834.00;1.077331
4836.00;1.101405
4838.00;1.123232
4840.00;1.137402
4842.00;1.114244
4844.00;1.117409
4846.00;1.107733
4848.00;1.103606
4850.00;1.068114
4852.00;1.055137
4854.00;1.054816
4856.00;1.050322
4858.00;1.041242
4860.00;1.037528
4862.00;1.031521
4864.00;1.020240
4866.00;1.022717
4868.00;1.023542
4870.00;1.008226
4872.00;0.976723
4874.00;0.930914
4876.00;0.903630
4878.00;0.916607
4880.00;1.050918
4882.00;1.268503
4884.00;1.453118
4886.00;1.425421
4888.00;1.223106
4890.00;1.022717
4892.00;0.935407
4894.00;0.938801
4896.00;0.938938
4898.00;0.950127
4900.00;0.971404
4902.00;0.991718
4904.00;1.011344
4906.00;0.989105
4908.00;0.986445
4910.00;0.987637
4912.00;0.999835
4914.00;1.013546
4916.00;1.045002
4918.00;1.062244
4920.00;1.057934
4922.00;1.024230
4924.00;1.020332
4926.00;1.033126
4928.00;1.048121
4930.00;1.047341
4932.00;1.022717
4934.00;1.030741
4936.00;1.011344
4938.00;1.017122
4940.00;0.998734
4942.00;1.000844
4944.00;0.984244
4946.00;0.969203
4948.00;0.979612
4950.00;0.996029
4952.00;1.022029
4954.00;1.026110
4956.00;1.016939
4958.00;0.996717
4960.00;0.966222
4962.00;0.991305
4964.00;1.025101
4966.00;1.065913
4968.00;1.057934
4970.00;1.046011
4972.00;1.047525
4974.00;1.061740
4976.00;1.062107
4978.00;1.073708
4980.00;1.082008
4982.00;1.096636
4984.00;1.103239
4986.00;1.089941
4988.00;1.067013
4990.00;1.045920
4992.00;1.047112
4994.00;1.051514
4996.00;1.049817
4998.00;1.025101
5000.00;1.006209
5002.00;0.986216
5004.00;0.985436
5006.00;0.982318
5008.00;1.008501
5010.00;1.009006
5012.00;1.010519
5014.00;1.005337
5016.00;1.026844
5018.00;1.014738
5020.00;1.005842
5022.00;1.005016
5024.00;1.026018
5026.00;1.069306
5028.00;1.129606
5030.00;1.169822
5032.00;1.144739
5034.00;1.064629
5036.00;1.011803
5038.00;0.967736
5040.00;0.946917
5042.00;0.925732
5044.00;0.915644
5046.00;0.928346
5048.00;0.944624
5050.00;0.965443
5052.00;0.977044
5054.00;0.995937
5056.00;0.992635
5058.00;0.988417
5060.00;0.958014
5062.00;0.952420
5064.00;0.952833
5066.00;0.979521
5068.00;0.990709
5070.00;0.982134
5072.00;0.989609
5074.00;0.988600
5076.00;0.983510
5078.00;0.973238
5080.00;0.990939
5082.00;1.005521
5084.00;1.019140
5086.00;1.009327
5088.00;1.015013
5090.00;0.983923
5092.00;0.976632
5094.00;0.965535
5096.00;0.976907
5098.00;0.956730
5100.00;0.940727
5102.00;0.930914
5104.00;0.937517
5106.00;0.956501
5108.00;0.968836
5110.00;0.971313
5112.00;0.966727
5114.00;0.963517
5116.00;0.983418
5118.00;0.994836
5120.00;0.980713
5122.00;0.954529
5124.00;0.934720
5126.00;0.956043
5128.00;0.975531
5130.00;0.980942
5132.00;0.981401
5134.00;0.990618
5136.00;1.007217
5138.00;0.998826
5140.00;0.973926
5142.00;0.967231
5144.00;0.980025
5146.00;0.988142
5148.00;0.954713
5150.00;0.921238
5152.00;0.935728
5154.00;0.980805
5156.00;0.997404
5158.00;0.962508
5160.00;0.920734
5162.00;0.916744
5164.00;0.930318
5166.00;0.938434
5168.00;0.928025
5170.00;0.908123
5172.00;0.905922
5174.00;0.919404
5176.00;0.947330
5178.00;0.972826
5180.00;0.974843
5182.00;0.960215
5184.00;0.933436
5186.00;0.898631
5188.00;0.857132
5190.00;0.804215
5192.00;0.770235
5194.00;0.779911
5196.00;0.826409
5198.00;0.873823
5200.00;0.916928
5202.00;0.940727
5204.00;0.944441
5206.00;0.937838
5208.00;0.928529
5210.00;0.920734
5212.00;0.898723
5214.00;0.887534
