#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 4848.3084     9.210708e-01
 4852.3526     9.119411e-01
 4856.3968     9.189554e-01
 4860.4410     9.283286e-01
 4864.4852     9.399838e-01
 4868.5293     9.135814e-01
 4872.5735     8.730805e-01
 4876.6177     8.516519e-01
 4880.6619     8.793434e-01
 4884.7060     8.867390e-01
 4888.7502     8.661782e-01
 4892.7944     8.747779e-01
 4896.8386     8.637473e-01
 4900.8828     9.466373e-01
 4904.9269     9.312733e-01
 4908.9711     9.606611e-01
 4913.0153     9.742230e-01
 4917.0595     9.339528e-01
 4921.1036     9.607997e-01
 4925.1478     9.569545e-01
 4929.1920     9.415435e-01
 4933.2362     9.212537e-01
 4937.2804     9.675480e-01
 4941.3245     9.797097e-01
 4945.3687     9.635217e-01
 4949.4129     9.442489e-01
 4953.4571     9.255032e-01
 4957.5013     9.921484e-01
 4961.5454     1.014078e+00
 4965.5896     9.561979e-01
 4969.6338     9.814457e-01
 4973.6780     9.635355e-01
 4977.7221     9.320060e-01
 4981.7663     9.261194e-01
 4985.8105     9.566674e-01
 4989.8547     9.514539e-01
 4993.8989     8.895597e-01
 4997.9430     9.021473e-01
 5001.9872     9.132901e-01
 5006.0314     9.493184e-01
 5010.0756     9.311802e-01
 5014.1197     9.786228e-01
 5018.1639     9.255974e-01
 5022.2081     8.883578e-01
 5026.2523     8.512328e-01
 5030.2965     8.840846e-01
 5034.3406     9.167368e-01
 5038.3848     9.058131e-01
 5042.4290     9.115561e-01
 5046.4732     9.226457e-01
 5050.5173     9.025240e-01
 5054.5615     9.327072e-01
 5058.6057     9.675489e-01
 5062.6499     9.976845e-01
 5066.6941     9.993621e-01
 5070.7382     9.037598e-01
 5074.7824     9.126945e-01
 5078.8266     9.351180e-01
 5082.8708     9.024310e-01
 5086.9149     9.420197e-01
 5090.9591     9.481232e-01
 5095.0033     9.076658e-01
 5099.0475     9.148953e-01
 5103.0917     9.564884e-01
 5107.1358     9.097856e-01
 5111.1800     9.206171e-01
 5115.2242     9.632134e-01
 5119.2684     9.801338e-01
 5123.3125     9.516140e-01
 5127.3567     9.096785e-01
 5131.4009     8.932757e-01
 5135.4451     9.207695e-01
 5139.4893     9.362481e-01
 5143.5334     9.304564e-01
 5147.5776     9.045552e-01
 5151.6218     8.462776e-01
 5155.6660     8.823367e-01
 5159.7102     8.937933e-01
 5163.7543     8.588454e-01
 5167.7985     8.831800e-01
 5171.8427     8.260200e-01
 5175.8869     8.041767e-01
 5179.9310     7.323123e-01
 5183.9752     7.102205e-01
 5188.0194     7.818605e-01
 5192.0636     8.594774e-01
 5196.1078     9.036052e-01
 5200.1519     9.041489e-01
 5204.1961     8.908433e-01
 5208.2403     8.781935e-01
 5212.2845     8.989574e-01
 5216.3286     8.872898e-01
 5220.3728     9.210473e-01
 5224.4170     9.185115e-01
 5228.4612     9.179171e-01
 5232.5054     9.253709e-01
 5236.5495     8.565329e-01
 5240.5937     9.480274e-01
 5244.6379     1.039567e+00
 5248.6821     9.974086e-01
 5252.7262     9.993036e-01
 5256.7704     9.636074e-01
 5260.8146     9.317993e-01
 5264.8588     9.068223e-01
 5268.9030     8.937193e-01
 5272.9471     8.991748e-01
 5276.9913     8.929036e-01
 5281.0355     9.073809e-01
 5285.0797     9.506475e-01
 5289.1238     9.363256e-01
 5293.1680     9.973485e-01
 5297.2122     1.064110e+00
 5301.2564     1.048076e+00
 5305.3006     1.002670e+00
 5309.3447     9.819615e-01
 5313.3889     9.687350e-01
 5317.4331     1.008973e+00
 5321.4773     1.067282e+00
 5325.5215     1.056063e+00
 5329.5656     1.007335e+00
 5333.6098     9.755542e-01
 5337.6540     9.214505e-01
 5341.6982     9.568979e-01
 5345.7423     9.759890e-01
 5349.7865     1.002026e+00
 5353.8307     1.008505e+00
 5357.8749     1.048806e+00
 5361.9191     1.054113e+00
 5365.9632     1.006613e+00
 5370.0074     1.020395e+00
 5374.0516     9.998928e-01
 5378.0958     1.003336e+00
 5382.1399     9.677121e-01
 5386.1841     1.023124e+00
 5390.2283     1.047160e+00
 5394.2725     1.027670e+00
 5398.3167     1.052869e+00
 5402.3608     9.990042e-01
 5406.4050     9.756291e-01
 5410.4492     9.915951e-01
 5414.4934     9.902599e-01
 5418.5375     9.983505e-01
 5422.5817     1.009412e+00
 5426.6259     1.018366e+00
 5430.6701     1.001897e+00
 5434.7143     1.037596e+00
 5438.7584     1.016622e+00
 5442.8026     9.898713e-01
 5446.8468     9.875491e-01
 5450.8910     9.894624e-01
 5454.9351     9.973921e-01
 5458.9793     9.998400e-01
 5463.0235     9.835944e-01
 5467.0677     1.019757e+00
 5471.1119     1.000234e+00
 5475.1560     9.280436e-01
 5479.2002     1.014278e+00
 5483.2444     1.061905e+00
 5487.2886     1.038313e+00
 5491.3327     1.020139e+00
 5495.3769     1.006085e+00
 5499.4211     1.005293e+00
 5503.4653     1.033623e+00
 5507.5095     1.058558e+00
 5511.5536     1.012456e+00
 5515.5978     9.970164e-01
 5519.6420     9.611059e-01
 5523.6862     9.913949e-01
 5527.7304     1.003255e+00
 5531.7745     1.015054e+00
 5535.8187     1.026892e+00
 5539.8629     1.038752e+00
 5543.9071     9.814757e-01
 5547.9512     9.510744e-01
 5551.9954     9.581321e-01
 5556.0396     9.651983e-01
 5560.0838     9.722751e-01
 5564.1280     9.793600e-01
 5568.1721     1.052060e+00
 5572.2163     9.786264e-01
 5576.2605     1.012508e+00
 5580.3047     9.960862e-01
 5584.3488     1.008475e+00
 5588.3930     1.007964e+00
 5592.4372     9.922743e-01
 5596.4814     9.962412e-01
 5600.5256     9.621280e-01
 5604.5697     9.427483e-01
 5608.6139     1.006155e+00
 5612.6581     1.053956e+00
 5616.7023     1.004449e+00
 5620.7464     1.045558e+00
 5624.7906     1.013540e+00
 5628.8348     1.001081e+00
 5632.8790     1.045545e+00
 5636.9232     1.046702e+00
 5640.9673     1.034503e+00
 5645.0115     1.008402e+00
 5649.0557     9.724565e-01
 5653.0999     9.743227e-01
 5657.1440     9.997194e-01
 5661.1882     9.655459e-01
 5665.2324     9.644324e-01
 5669.2766     9.372914e-01
 5673.3208     9.773101e-01
 5677.3649     1.023853e+00
 5681.4091     9.645771e-01
 5685.4533     1.033178e+00
 5689.4975     1.025377e+00
 5693.5416     1.033471e+00
 5697.5858     1.052555e+00
 5701.6300     1.013345e+00
 5705.6742     9.932441e-01
 5709.7184     9.650082e-01
 5713.7625     9.657729e-01
 5717.8067     9.961209e-01
 5721.8509     1.046058e+00
 5725.8951     1.015618e+00
 5729.9393     1.036921e+00
 5733.9834     1.044888e+00
 5738.0276     1.058391e+00
 5742.0718     1.050907e+00
 5746.1160     1.016095e+00
 5750.1601     9.772913e-01
 5754.2043     1.039357e+00
 5758.2485     1.074662e+00
 5762.2927     1.048262e+00
 5766.3369     1.022289e+00
 5770.3810     1.071190e+00
 5774.4252     1.111043e+00
 5778.4694     1.046581e+00
 5782.5136     1.015432e+00
 5786.5577     9.998370e-01
 5790.6019     9.918010e-01
 5794.6461     9.876473e-01
 5798.6903     1.004125e+00
 5802.7345     1.071156e+00
 5806.7786     1.078136e+00
 5810.8228     1.040356e+00
 5814.8670     1.061203e+00
 5818.9112     1.045578e+00
 5822.9553     1.001704e+00
 5826.9995     1.033649e+00
 5831.0437     1.048134e+00
 5835.0879     9.981198e-01
 5839.1321     1.011751e+00
 5843.1762     9.836199e-01
 5847.2204     9.631740e-01
 5851.2646     9.991233e-01
 5855.3088     9.392072e-01
 5859.3529     9.274414e-01
 5863.3971     1.009228e+00
 5867.4413     1.032168e+00
 5871.4855     9.720198e-01
 5875.5297     9.664258e-01
 5879.5738     9.837567e-01
 5883.6180     9.507838e-01
 5887.6622     8.802904e-01
 5891.7064     9.293543e-01
 5895.7505     8.825285e-01
 5899.7947     8.834108e-01
 5903.8389     9.082769e-01
 5907.8831     9.087570e-01
 5911.9273     9.768434e-01
 5915.9714     1.017769e+00
 5920.0156     1.019406e+00
 5924.0598     1.022344e+00
 5928.1040     9.950300e-01
 5932.1482     9.559497e-01
 5936.1923     9.677171e-01
 5940.2365     1.002710e+00
 5944.2807     9.682659e-01
 5948.3249     9.850948e-01
 5952.3690     9.751852e-01
 5956.4132     9.949094e-01
 5960.4574     1.022140e+00
 5964.5016     1.034256e+00
 5968.5458     9.850215e-01
 5972.5899     9.795618e-01
 5976.6341     9.820082e-01
 5980.6783     1.053193e+00
 5984.7225     1.047544e+00
 5988.7666     1.053774e+00
 5992.8108     1.103578e+00
 5996.8550     1.043840e+00
 6000.8992     1.002004e+00
 6004.9434     9.917365e-01
 6008.9875     9.874130e-01
 6013.0317     1.044617e+00
 6017.0759     1.038466e+00
 6021.1201     1.017877e+00
 6025.1642     9.801444e-01
 6029.2084     1.040607e+00
 6033.2526     1.053148e+00
 6037.2968     1.040447e+00
 6041.3410     1.034659e+00
 6045.3851     1.081062e+00
 6049.4293     1.113355e+00
 6053.4735     1.085101e+00
 6057.5177     1.030019e+00
 6061.5618     1.011014e+00
 6065.6060     9.894373e-01
 6069.6502     1.054942e+00
 6073.6944     1.091260e+00
 6077.7386     1.063080e+00
 6081.7827     1.038403e+00
 6085.8269     1.076579e+00
 6089.8711     1.052945e+00
 6093.9153     1.022791e+00
 6097.9594     1.066128e+00
 6102.0036     1.086591e+00
 6106.0478     1.015770e+00
 6110.0920     9.895132e-01
 6114.1362     1.013908e+00
 6118.1803     1.012747e+00
 6122.2245     9.949566e-01
 6126.2687     9.975911e-01
 6130.3129     1.058191e+00
 6134.3571     1.037729e+00
 6138.4012     9.490153e-01
 6142.4454     1.008308e+00
 6146.4896     1.009677e+00
 6150.5338     9.918805e-01
 6154.5779     9.754273e-01
 6158.6221     1.009849e+00
 6162.6663     9.893124e-01
 6166.7105     1.011741e+00
 6170.7547     9.692152e-01
 6174.7988     9.275808e-01
 6178.8430     9.451414e-01
 6182.8872     9.514551e-01
 6186.9314     9.915837e-01
 6190.9755     9.399095e-01
 6195.0197     9.131503e-01
 6199.0639     9.535384e-01
 6203.1081     9.450281e-01
 6207.1523     9.820659e-01
 6211.1964     9.266499e-01
 6215.2406     9.374015e-01
 6219.2848     9.479004e-01
 6223.3290     9.631894e-01
 6227.3731     9.617990e-01
 6231.4173     9.950168e-01
 6235.4615     9.573992e-01
 6239.5057     9.196978e-01
 6243.5499     9.399627e-01
 6247.5940     9.345566e-01
 6251.6382     9.315988e-01
 6255.6824     9.287035e-01
 6259.7266     9.234466e-01
 6263.7707     9.362032e-01
 6267.8149     9.471519e-01
 6271.8591     9.318715e-01
 6275.9033     9.275430e-01
 6279.9475     9.194707e-01
 6283.9916     9.312530e-01
